Pol6TTaCod,Capitulo,VarRC,VarAIR,diasAseg,SumaAseg,Cobertura,Tasa,Bonif,PrimaRC,PrimaCasco,PrimaNeta
01,1,1,1,182,0,A,0,0,2888.98,0,2888.98
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,472000,D4,28.4593,0,2116.5,6716.4,9638.87
01,2,3,1,182,625000,D4,33.475,0,2540,10460.94,14256.26
01,1,2,1,182,480000,D4I,31.283,0,2116.5,7507.92,10525.37
01,1,1,1,182,128000,B1,3.9526,0,2116.5,395.26,2559.19
01,1,1,1,182,277000,D4,29.7934,0,2116.5,4126.39,6738.06
01,1,1,1,182,265000,C2,16.8238,0,2116.5,2229.16,4613.16
01,1,1,1,182,459000,D4,29.7934,0,2116.5,6837.59,9774.6
01,1,1,1,182,780000,D4,25.7913,0,2116.5,10058.61,13382.15
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,2,1,1,182,0,A,0,0,2490.5,0,2490.5
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,4,5,16,182,0,A,0,0,647.5,0,647.5
01,2,3,1,366,1510000,D2,22.9796,0,5080,34699.2,39779.2
01,1,1,1,182,151000,B,9.5341,0,2116.5,953.41,3184.32
01,1,2,1,182,740000,D2I,27.2026,0,2116.5,10064.96,13389.26
01,1,1,1,182,359000,D4,28.4593,0,2116.5,5108.45,7837.97
01,1,1,1,182,430000,D4,25.7913,0,2116.5,5545.13,8327.05
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,2,1,182,372000,D4I,34.4113,0,2116.5,6400.5,9285.06
01,1,1,1,182,400000,D4,29.7934,0,2116.5,5958.68,8790.22
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,1,1,1,182,308000,D4,29.7934,0,2116.5,4588.19,7255.27
01,1,1,1,182,149000,C1,9.0468,0,2116.5,904.68,3129.74
01,1,1,1,182,145000,C1,9.0468,0,2116.5,904.68,3129.74
01,1,1,1,182,550000,D4,25.7913,0,2116.5,7092.61,10060.23
01,2,3,1,182,1260000,C2,14.6385,0,2540,9222.26,12868.93
01,1,1,1,182,93000,C1,9.0468,0,2116.5,904.68,3129.74
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,153000,B,9.5341,0,2116.5,953.41,3184.32
01,2,1,1,182,380000,D4,29.7934,0,2116.5,5660.75,8456.54
01,1,1,1,182,290000,D4,32.7727,0,2116.5,4752.04,7438.79
01,1,1,1,182,840000,D4,27.1253,0,2116.5,11392.63,14876.25
01,1,1,1,182,310000,D4,32.7727,0,2116.5,5079.77,7805.84
01,1,1,1,182,87000,C1,9.0468,0,2116.5,904.68,3129.74
01,1,1,1,182,260000,C2,16.8238,0,2116.5,2187.1,4566.05
01,2,1,1,182,390000,D4,29.7934,0,2116.5,5809.72,8623.39
01,2,3,1,182,1000000,B,9.5341,0,2540,4767.05,7879.1
01,1,1,1,182,565000,D4,27.1253,0,2116.5,7662.9,10698.95
01,1,1,1,182,290000,C2,15.5675,0,2116.5,2257.29,4644.67
01,1,1,1,182,505000,D4,29.7934,0,2116.5,7522.84,10542.08
01,2,1,1,182,510000,B,9.5341,0,2116.5,2431.2,4839.45
01,4,4,16,182,0,A,0,0,2266,0,2266
01,7,3,1,182,0,A,0,0,622.5,0,622.5
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,7,3,1,182,0,A,0,0,622.5,0,622.5
01,1,2,1,182,435000,D4I,31.283,0,2116.5,6804.06,9737.05
01,8,1,2,182,0,A,0,0,1657,0,1657
01,3,1,2,182,0,A,0,0,6951,0,6951
01,2,1,1,182,370000,D4,29.7934,0,2116.5,5511.78,8289.7
01,1,2,1,182,0,A,0,0,2490.5,0,2490.5
01,2,1,1,182,0,A,0,0,2490.5,0,2490.5
01,7,3,1,182,0,A,0,0,622.5,0,622.5
01,1,2,1,182,280000,D4I,34.4113,0,2116.5,4817.58,7512.19
01,7,1,1,182,1650000,C1,19.206,0,3387,15844.95,19231.95
01,2,3,1,182,2806000,D4,22.2561,0,2540,31225.31,37512.35
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,871000,D4,21.7892,0,2116.5,9489.2,12744.41
01,2,3,1,182,460000,D4,33.475,0,2540,7699.25,11163.16
01,1,1,1,182,635000,D4,29.7934,0,2116.5,9459.41,12711.04
01,1,1,1,182,255000,C2,15.5675,0,2116.5,1984.86,4339.55
01,1,2,1,182,216000,D4I,34.4113,0,2116.5,3716.42,6278.89
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,3,1,2,182,0,A,0,0,6951,0,6951
01,2,4,1,182,465000,D4I,30.4318,0,2540,7075.4,10464.45
01,2,4,1,182,2800000,D4I,26.344,0,2540,36881.6,43847.39
01,2,1,1,182,0,A,0,0,2490.5,0,2490.5
01,2,4,1,182,1694000,D4I,22.2561,0,2540,18850.92,23653.03
01,3,1,2,182,1440000,C,34.4549,0,5908.5,24807.53,292774.75
01,3,1,2,182,1735000,B,23.7122,0,5908.5,20570.34,292774.75
01,3,1,2,182,0,A,0,0,6951,0,292774.75
01,8,1,2,182,0,A,0,0,1657,0,292774.75
01,2,3,1,182,400000,C1,9.0468,0,2540,1809.36,292774.75
01,2,3,1,182,425000,D4,33.475,0,2540,7113.44,292774.75
01,8,1,2,182,0,A,0,0,1657,0,292774.75
01,8,1,2,182,0,A,0,0,1657,0,292774.75
01,2,3,1,182,990000,D4,30.4318,0,2540,15063.74,292774.75
01,2,3,1,182,650000,D4,33.475,0,2540,10879.38,292774.75
01,3,1,2,182,1460000,C,34.4549,0,5908.5,25152.08,292774.75
01,2,3,1,182,940000,D4,33.475,0,2540,15733.25,292774.75
01,8,1,2,182,837947,C,27.6095,0,1408,11567.65,292774.75
01,3,1,2,182,2225000,C,34.4549,0,5908.5,38331.08,292774.75
01,4,5,16,182,0,A,0,0,647.5,0,292774.75
01,3,1,2,182,2095000,C,34.4549,0,5908.5,36091.51,292774.75
01,2,4,1,182,280000,C1,9.0468,0,2540,1266.55,292774.75
01,7,3,1,182,0,A,0,0,622.5,0,292774.75
01,2,3,1,182,1950000,D4,27.7066,0,2540,27013.94,29553.94
01,2,3,1,182,2020000,D4,26.344,0,2540,26607.44,29147.44
01,2,1,1,182,470000,C2,17.1242,0,2116.5,4024.19,6623.59
01,1,2,1,182,4650000,D4I,28.4815,0,2116.5,66219.49,76282.33
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,2,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,2,4,1,182,1000000,D4I,33.475,0,2540,16737.5,21286
01,7,3,1,182,0,A,0,0,622.5,0,622.5
01,1,1,1,182,270000,B,9.5341,0,2116.5,1287.11,3558.07
01,1,1,1,182,271000,C2,15.5675,0,2116.5,2109.4,4479.03
01,1,1,1,182,335000,D4,29.7934,0,2116.5,4990.4,7705.75
01,1,1,1,182,157000,B,9.5341,0,2116.5,953.41,3184.32
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,2,3,1,182,500000,D2,26.4624,0,2540,6615.6,9949.47
01,1,1,1,182,262000,C2,16.8238,0,2116.5,2203.92,4584.89
01,1,2,1,182,335000,C2,15.5675,0,2116.5,2607.56,5036.97
01,8,1,2,182,0,A,0,0,1657,0,1657
01,3,1,2,182,0,A,0,15,6951,0,5908.35
01,7,3,1,182,0,A,0,0,622.5,0,622.5
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,230000,C,15.5675,0,2116.5,1790.27,4121.6
01,2,4,1,182,870000,C2,17.1242,0,2540,7449.03,10882.92
01,1,1,1,182,227000,C,15.5675,0,2116.5,1766.91,4095.44
01,2,1,1,182,340000,B,9.5341,0,2116.5,1620.8,3931.8
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,2,4,1,182,0,A,0,0,2988.5,0,2988.5
01,1,1,1,182,313000,C1,9.0468,0,2116.5,1415.83,3532.33
01,3,1,2,182,2115000,C,34.4549,0,5908.5,36436.06,46716.89
01,1,1,1,182,222000,D4,32.7727,0,2116.5,3637.77,6190.8
01,8,1,2,182,0,A,0,0,1657,0,1657
01,1,1,1,182,342000,D4,28.4593,0,2116.5,4866.54,7567.03
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,2,1,182,518000,D4I,34.4113,10,2116.5,8912.53,10888.69
01,2,3,1,182,1720000,D4,29.0692,0,2540,24999.51,30539.45
